Month,Search
2010-12,23
2011-01,30
2011-02,28
2011-03,28
2011-04,29
2011-05,26
2011-06,25
2011-07,20
2011-08,23
2011-09,24
2011-10,29
2011-11,21
2011-12,20
2012-01,24
2012-02,38
2012-03,28
2012-04,32
2012-05,30
2012-06,36
2012-07,26
2012-08,26
2012-09,37
2012-10,32
2012-11,49
2012-12,36
2013-01,35
2013-02,43
2013-03,35
2013-04,49
2013-05,84
2013-06,61
2013-07,63
2013-08,95
2013-09,72
2013-10,68
2013-11,70
2013-12,66
2014-01,57
2014-02,76
2014-03,76
2014-04,69
2014-05,69
2014-06,70
2014-07,66
2014-08,61
2014-09,64
2014-10,81
2014-11,56
2014-12,50
2015-01,60
2015-02,64
2015-03,60
2015-04,68
2015-05,85
2015-06,62
2015-07,64
2015-08,72
2015-09,75
2015-10,73
2015-11,57
2015-12,54
2016-01,48
2016-02,53
2016-03,56
2016-04,100
2016-05,53
2016-06,45
2016-07,38
2016-08,34
2016-09,38
2016-10,40
2016-11,42
2016-12,32
2017-01,37
2017-02,34
2017-03,29
2017-04,38
2017-05,28
2017-06,29
2017-07,32
2017-08,30
2017-09,29
2017-10,30
2017-11,38
2017-12,26
2018-01,24
2018-02,26
2018-03,23
